program_number,program_name,high,number_of_lines,top_padding,bottom_padding,width,left_margin,right_margin,page_width,number_of_pages,buffer_between_pages,repeat_rows,repeat_lines
1,ספר 60,60.0,52,8.05,6.05,74.0,3.0,3.0,14.0,4,4.0,1,1
2,ספר 56,56.0,43,8.0,6.0,82.0,3.0,3.0,16.0,4,4.0,1,1
3,ספר 50,50.0,43,8.2,6.1,74.0,3.0,3.0,14.0,4,4.0,1,1
4,ספר 48,48.0,43,8.2,6.1,72.0,3.0,3.0,13.5,4,4.0,1,1
5,ספר 45,45.0,43,7.5,6.0,68.0,4.0,4.0,12.0,4,4.0,1,1
6,ספר 36,36.0,43,6.0,4.8,60.0,2.5,2.5,11.5,4,3.0,1,1
7,ספר 30,30.0,43,5.0,4.0,54.0,2.5,2.5,10.0,4,3.0,1,1
8,מזוזה 10,10.0,22,0.76,0.42,10.5,0.3,0.7,9.5,1,0.0,1,1
9,מזוזה 12,11.8,22,0.8,0.5,12.5,0.4,0.7,11.4,1,0.0,2,2
10,מזוזה 15,15.0,22,0.92,0.64,15.5,0.5,2.0,13.0,1,0.0,1,1
11,מזוזה 20,20.0,22,1.5,1.07,20.0,1.0,3.0,16.0,1,0.0,1,1
12,מזוזה 25,25.0,22,2.0,1.5,25.0,1.5,3.5,20.0,1,0.0,1,1
13,"תפילין יד חב""ד",3.8,7,0.6,0.4,90.0,0.0,0.0,90.0,1,0.0,1,1
14,"תפילין ראש חב""ד 60",2.8,4,0.7,0.45,60.0,0.0,0.0,60.0,1,0.0,1,1
15,"תפילין ראש חב""ד 70",2.8,4,0.7,0.45,70.0,0.0,0.0,70.0,1,0.0,1,1
16,"תפילין ראש חב""ד 80",2.8,4,0.7,0.45,80.0,0.0,0.0,80.0,1,0.0,1,20
